Time to split: 3.4559125900268555
Time to merge: 19.720922708511353
Total time: 23.17688775062561
lastWrittenSplit: 22
File successfully sorted
         8396902 function calls (8396841 primitive calls) in 25.097 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:102(release)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:142(__init__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:146(__enter__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:153(__exit__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
      8/3    0.000    0.000    0.027    0.009 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
      121    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(__init__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:297(__enter__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(__exit__)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:355(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(cached)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:402(parent)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:410(has_location)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        7    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap>:553(module_from_spec)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:57(__init__)
      7/2    0.000    0.000    0.038    0.019 <frozen importlib._bootstrap>:641(_load_unlocked)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:77(acquire)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(find_spec)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:834(__enter__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:838(__exit__)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:861(_find_spec)
      7/2    0.000    0.000    0.038    0.019 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
      7/2    0.000    0.000    0.038    0.019 <frozen importlib._bootstrap>:958(_find_and_load)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
      6/1    0.000    0.000    0.024    0.024 <frozen importlib._bootstrap_external>:672(exec_module)
        6    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap_external>:743(get_code)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
        6    0.000    0.000    0.020    0.003 <frozen importlib._bootstrap_external>:830(get_data)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
        1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap_external>:919(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.001    0.001 __init__.py:359(namedtuple)
        6    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
        6    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       36    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
      126    0.000    0.000    0.000    0.000 enum.py:265(__call__)
      126    0.000    0.000    0.000    0.000 enum.py:515(__new__)
        6    0.000    0.000    0.000    0.000 enum.py:795(__or__)
       57    0.000    0.000    0.000    0.000 enum.py:801(__and__)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    2.732    2.732   25.097   25.097 orderByCEP_Multithreaded.py:3(<module>)
        1    0.000    0.000    0.000    0.000 orderByCEP_Multithreaded.py:37(thread_merge)
       35    0.000    0.000    0.002    0.000 orderByCEP_Multithreaded.py:38(__init__)
        1    0.000    0.000    0.014    0.014 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 queue.py:13(Empty)
        1    0.000    0.000    0.000    0.000 queue.py:17(Full)
        1    0.000    0.000    0.000    0.000 queue.py:199(_init)
        1    0.000    0.000    0.000    0.000 queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 queue.py:214(PriorityQueue)
        1    0.000    0.000    0.000    0.000 queue.py:233(LifoQueue)
        1    0.000    0.000    0.000    0.000 queue.py:27(__init__)
        2    0.000    0.000    0.001    0.000 re.py:231(compile)
        2    0.000    0.000    0.001    0.000 re.py:286(_compile)
        6    0.000    0.000    0.000    0.000 sre_compile.py:223(_compile_charset)
        6    0.000    0.000    0.000    0.000 sre_compile.py:250(_optimize_charset)
        3    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
        3    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
        5    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
        1    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 sre_compile.py:482(_compile_info)
        4    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
        2    0.000    0.000    0.000    0.000 sre_compile.py:542(_code)
        2    0.000    0.000    0.001    0.000 sre_compile.py:557(compile)
     11/2    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
       11    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       18    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
       41    0.000    0.000    0.000    0.000 sre_parse.py:163(__getitem__)
        5    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
       20    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
     17/8    0.000    0.000    0.000    0.000 sre_parse.py:173(getwidth)
        2    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
       54    0.000    0.000    0.000    0.000 sre_parse.py:232(__next)
       36    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
       47    0.000    0.000    0.000    0.000 sre_parse.py:253(get)
       17    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        8    0.000    0.000    0.000    0.000 sre_parse.py:294(_class_escape)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:407(_parse_sub)
      5/2    0.000    0.000    0.000    0.000 sre_parse.py:469(_parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        6    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        2    0.000    0.000    0.000    0.000 sre_parse.py:829(fix_flags)
        1    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.000    0.000 sre_parse.py:845(parse)
        1    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.009    0.009 threading.py:1(<module>)
       35    0.000    0.000   19.464    0.556 threading.py:1024(join)
       35    0.000    0.000   19.464    0.556 threading.py:1062(_wait_for_tstate_lock)
       35    0.000    0.000    0.000    0.000 threading.py:1120(daemon)
        1    0.000    0.000    0.000    0.000 threading.py:1158(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1188(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:1190(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1207(_DummyThread)
